filename,truelabel,transform_lists,asr
ILSVRC2012_val_00007197.JPEG,0,8_9_14_6,0.699999988
ILSVRC2012_val_00018075.JPEG,1,8_9_14_6,0.699999988
ILSVRC2012_val_00023185.JPEG,2,8_9_14_6,0.899999976
ILSVRC2012_val_00040388.JPEG,3,8_9_14_6,0.800000012
ILSVRC2012_val_00023074.JPEG,4,8_9_14_6,1
ILSVRC2012_val_00019988.JPEG,5,1_3_16_8,0
ILSVRC2012_val_00001935.JPEG,6,1_3_16_8,0.800000012
ILSVRC2012_val_00036368.JPEG,7,1_3_16_8,0.200000003
ILSVRC2012_val_00039067.JPEG,8,1_3_16_8,0.699999988
ILSVRC2012_val_00024268.JPEG,9,1_3_16_8,0.899999976
ILSVRC2012_val_00045172.JPEG,10,9_7_18_13,0.600000024
ILSVRC2012_val_00015903.JPEG,11,9_7_18_13,0
ILSVRC2012_val_00010310.JPEG,12,9_7_18_13,0
ILSVRC2012_val_00045480.JPEG,13,9_7_18_13,0.100000001
ILSVRC2012_val_00003557.JPEG,14,9_7_18_13,0
ILSVRC2012_val_00010767.JPEG,15,4_2_1_5,0.200000003
ILSVRC2012_val_00048178.JPEG,16,4_2_1_5,0.600000024
ILSVRC2012_val_00033515.JPEG,17,4_2_1_5,0.400000006
ILSVRC2012_val_00021956.JPEG,18,4_2_1_5,0.5
ILSVRC2012_val_00035303.JPEG,19,4_2_1_5,0.699999988
ILSVRC2012_val_00008495.JPEG,20,4_18_7_6,0
ILSVRC2012_val_00046948.JPEG,21,4_18_7_6,0
ILSVRC2012_val_00039605.JPEG,22,4_18_7_6,0
ILSVRC2012_val_00027870.JPEG,23,4_18_7_6,0
ILSVRC2012_val_00049990.JPEG,24,4_18_7_6,0
ILSVRC2012_val_00033575.JPEG,25,13_2_18_3,0
ILSVRC2012_val_00026773.JPEG,26,13_2_18_3,0.699999988
ILSVRC2012_val_00016818.JPEG,27,13_2_18_3,0.400000006
ILSVRC2012_val_00021024.JPEG,28,13_2_18_3,0
ILSVRC2012_val_00031235.JPEG,29,13_2_18_3,0.5
ILSVRC2012_val_00019578.JPEG,30,20_15_14_13,0.600000024
ILSVRC2012_val_00003846.JPEG,31,20_15_14_13,0.200000003
ILSVRC2012_val_00021211.JPEG,32,20_15_14_13,0.600000024
ILSVRC2012_val_00024221.JPEG,33,20_15_14_13,0.300000012
ILSVRC2012_val_00048011.JPEG,34,20_15_14_13,0.300000012
ILSVRC2012_val_00022329.JPEG,35,14_10_4_15,0.899999976
ILSVRC2012_val_00040314.JPEG,36,14_10_4_15,0.899999976
ILSVRC2012_val_00017222.JPEG,37,14_10_4_15,1
